,Nationality,Country.of.Nationality,Arrivals,Air,Sea,Rail,Road,Male,Female,X0...14.years,X15...24.years,X25...34.years,X35...44.years,X45...54.years,X55...64.years,X65.and.Above.years,Business.and.Professional,Leisure.Holiday.and.Recreation,Medical,Indian.Diaspora,Others,Average.duration.of.stay..in.days.
1,North America,Canada,335439,99,0.6,0,0.4,53,47,14.9,6.7,11.5,16.8,19.2,15.6,15.3,4.65,54.74,0.09,37.4,3.12,35.8
2,North America,U.S.A,1376919,99.2,0.5,0,0.2,54.8,45.2,19.7,7.1,10,16.1,21,14.6,11.5,10.42,40.71,0.05,45.77,3.05,29.7
3,North America,Total,1712358,99.2,0.6,0,0.2,54.4,45.6,18.8,7,10.3,16.2,20.7,14.8,12.2,9.31,43.42,0.06,44.15,3.07,31
4,Central and South Amercia,Argentina,14875,97.4,1.1,0,1.5,43.2,56.8,1.4,5.8,28.7,20.1,16.4,16.8,10.8,10.6,87.24,0.01,1.24,0.91,18.2
5,Central and South Amercia,Brazil,24453,98.5,0.9,0,0.5,52.9,47.1,2.6,7.1,28.9,24.9,16.5,13.6,6.4,26.17,66.67,0.08,5.22,1.85,21.7
6,Central and South Amercia,Mexico,18114,97.4,2.2,0,0.3,48.8,51.2,2.7,9,28.9,21.3,17.1,14.8,6.3,15.16,80.2,0.08,3.31,1.25,15.6
7,Central and South Amercia,Others,34625,98.2,1.1,0,0.7,52.3,47.7,4.1,7.3,30.2,20.9,17,14.1,6.4,16.72,67.6,0.21,11.71,3.75,23.3
8,Central and South Amercia,Total,92067,98,1.3,0,0.7,50.3,49.7,3,7.3,29.4,21.9,16.8,14.5,7.1,17.83,73.17,0.12,6.6,2.29,20.5
9,Western Europe,Austria,31832,98.2,1.4,0,0.4,58.1,41.9,5.1,9,16.1,17.4,24.2,19,9.2,24.27,51.2,0.05,23.32,1.16,20.8
10,Western Europe,Belgium,41902,98.6,1,0,0.4,60.5,39.5,7.2,8,16.5,20.7,24,16.1,7.5,25.3,47.79,0.07,22.95,3.89,20.2
11,Western Europe,Denmark,26761,99,0.7,0,0.4,58.8,41.2,5.2,10.5,12.8,18.4,26.1,16.3,10.7,37.18,52.77,0.1,8.8,1.16,15.7
12,Western Europe,Finland,20384,99.4,0.3,0,0.3,53.6,46.4,4.8,6.5,16.9,23.7,23.9,16.4,7.8,32.58,57.98,0.04,7.88,1.51,16.1
13,Western Europe,France,249620,99,0.5,0,0.5,54,46,5.9,8.2,15.7,18,21.2,17.8,13.1,20.59,64.17,0.04,12.67,2.53,21.9
14,Western Europe,Germany,269380,96.2,3.4,0,0.4,59.5,40.5,4.4,7.5,17.3,18.2,26.1,17.2,9.3,31.02,55,4,12.83,1.11,18.7
15,Western Europe,Greece,10286,95.5,4,0,0.5,59.3,40.7,1.8,6,25.9,23.4,21.9,15.1,6,25.86,61.16,0.01,7.03,5.93,16
16,Western Europe,Ireland,37993,99.1,0.7,0,0.2,53.9,46.1,16.1,7.6,16.1,26,19,10.3,4.9,19.47,36.69,0.05,42.53,1.25,22.4
17,Western Europe,Italy,111915,97.9,1.6,0,0.6,62.2,37.8,5.6,6.1,17,20.7,24.4,16.5,9.7,27.14,56.09,0.04,15.9,0.83,20
18,Western Europe,Netherlands,76652,98.8,0.7,0,0.5,60.7,39.3,4.7,7.3,16.4,19.7,26.3,17.8,7.8,30.59,50.06,0.11,17.4,1.83,18.4
19,Western Europe,Norway,20882,98.5,1.2,0,0.3,54.3,45.7,8.1,12.1,15.6,17.3,21.4,16.3,9.1,15.94,53.07,0.28,28.84,1.87,19.6
